Set,Year,Cruise,Stratum,Area,Number_Tows,Non_Zero_Tows,
1,2015,201504,01130,        2374,10,1,
1,2015,201504,01140,         656,4,0,
1,2015,201504,01150,         230,3,0,
1,2015,201504,01160,        2980,14,13,
1,2015,201504,01170,         360,4,0,
1,2015,201504,01180,         172,4,0,
1,2015,201504,01190,        2454,9,2,
1,2015,201504,01200,        1221,6,0,
1,2015,201504,01210,         424,4,1,
2,2016,201604,01130,        2374,10,1,
2,2016,201604,01140,         656,4,1,
2,2016,201604,01150,         230,3,0,
2,2016,201604,01160,        2980,14,11,
2,2016,201604,01170,         360,4,0,
2,2016,201604,01180,         172,4,0,
2,2016,201604,01190,        2454,9,1,
2,2016,201604,01200,        1221,6,1,
2,2016,201604,01210,         424,4,2,
3,2017,201704,01130,        2374,10,1,
3,2017,201704,01140,         656,4,0,
3,2017,201704,01150,         230,3,0,
3,2017,201704,01160,        2980,10,7,
3,2017,201704,01170,         360,4,0,
3,2017,201704,01180,         172,4,0,
3,2017,201704,01190,        2454,5,2,
3,2017,201704,01200,        1221,4,0,
3,2017,201704,01210,         424,3,0,
